Category Name, Underweight, Normal weight, Overweight, Obesity
selassleg,0.4710843373493976,0.5255964214711729,0.5315721649484536,0.515527950310559
distsoda,0.11,-0.01768172888015717,-0.2356687898089172,0.0847457627118644
distsoli,-0.81,-0.8113948919449901,-0.6687898089171974,-0.8305084745762712
mjus,0.7747440273037542,0.8087628865979382,0.7098214285714286,0.796875
distbar,-0.27,-0.21021611001964635,-0.29936305732484075,-0.3898305084745763
fqfec,12.18941504178273,11.369377162629759,11.41418918918919,10.924825174825175
distgat,-0.39,-0.4538310412573674,-0.4267515923566879,-0.6610169491525424
entrerep,10.66145181476846,8.35700817096166,7.207815275310835,7.780487804878049
mfruit,0.7129629629629629,0.7406444906444907,0.7222222222222222,0.640625
colmata,3.2551020408163267,2.605524079320113,2.567415730337079,2.739130434782609
aptotal_hebdo,746.0891089108911,890.0886945658963,902.6807387862797,866.969696969697
bonalim,0.5945945945945946,0.47096774193548385,0.44894651539708263,0.2032520325203252
fqvpo,8.89538043478261,8.15675057208238,8.086436170212766,8.380952380952381
tele,116.52944085831365,143.3563172371191,164.56517879499998,187.44424519749217
fqfl,22.032299741602067,21.40522512506948,19.174613402061855,20.11092715231788
mpois,0.5271535580524345,0.5151699029126213,0.5904255319148937,0.8076923076923077
selassent,0.42282608695652174,0.494921875,0.4841549295774648,0.47023809523809523
mfrom,0.5971223021582733,0.6413525498891353,0.6759259259259259,0.75
myao,0.7362542955326461,0.7344074844074844,0.75,0.75
mglace,0.7799657534246576,0.7809278350515464,0.793859649122807,0.734375
selassoeuf,0.5383008356545961,0.5641158221302999,0.5682989690721649,0.5397350993377483
mleg,0.541095890410959,0.5460805084745762,0.5424528301886793,0.59375
msoda,0.6525270758122743,0.6808628318584071,0.6462264150943396,0.6964285714285714
selassvps,0.48424657534246573,0.49299568965517243,0.4880281690140845,0.5017985611510791
selassvp,0.5311085972850679,0.5623336291038155,0.5615212527964206,0.5505780346820809
v2_age,12.781634938409855,34.2374245472837,47.13718411552347,50.181268882175225
fqpl,15.324074074074074,13.567758328627894,12.658970976253299,12.861204013377927
distconf,-0.23,-0.5284872298624754,-0.6942675159235668,-0.864406779661017
intalicuisi,0.27102803738317754,0.5242236024844721,0.5558739255014327,0.6811594202898551
mvian,0.6845238095238095,0.7320295983086681,0.7763157894736842,0.84375
selassfec,0.5515151515151515,0.572139303482587,0.564317673378076,0.5502717391304348
distbiss,-0.76,-0.7721021611001965,-0.7197452229299363,-0.7966101694915254
tage,NaN,NaN,NaN,NaN
fastfood,1.3475699558173786,1.8227424749163879,1.577656675749319,1.5539568345323742
mlait,0.6840148698884758,0.6906976744186046,0.6989795918367347,0.85
autreregmedic_cod,NaN,NaN,NaN,NaN
